q_ratio,M,mean_of_means,ci95_mean_lo,ci95_mean_hi,var_of_means,mean_of_vars,ci95_var_lo,ci95_var_hi,var_of_vars
0.67,100,0.057470363645067586,0.04761097623531221,0.06732975105482296,0.00253039150602985,0.004660785098661179,0.003765898587024987,0.005555671610297371,2.0846050309985216e-05
0.68,100,0.028920275760602184,0.02121775041946785,0.03662280110173652,0.0015443798581532859,0.002204857098899128,0.0016077408876982251,0.0028019733101000313,9.281230989143101e-06
0.6900000000000001,100,0.013599243386562336,0.008305017474221011,0.018893469298903662,0.0007296133905379618,0.0010792059772598886,0.0006096492529500821,0.001548762701569695,5.739366861322255e-06
0.7000000000000001,100,0.005530890281856708,0.0024994330151212997,0.008562347548592118,0.00023921629425351199,0.0004240005032507596,0.00018923693110417224,0.0006587640753973469,1.4346609435398252e-06
0.71,100,0.003353562646603287,0.0008831817094885164,0.005823943583718058,0.00015886042207569897,0.0003030834199745667,7.949341728824379e-05,0.0005266734226608895,1.3013455149226853e-06
0.72,100,0.0007502290857564314,-5.072666678318299e-05,0.0015511848382960458,1.6699555329193567e-05,6.418959792619104e-05,-9.799529602573417e-06,0.0001381787254549555,1.4250288922500447e-07
0.73,100,3.3019958587613356e-05,1.9990117955837687e-06,6.404090537964294e-05,2.504943616914648e-08,1.5669706044230871e-06,4.506651441687497e-08,3.0888746944292993e-06,6.029237971620255e-11
0.74,100,0.00032624582493682655,-0.00031319599193935357,0.0009656876418130066,1.064363382887105e-05,1.6294579381244943e-05,-1.5642796205995148e-05,4.823195496848503e-05,2.6551331721169284e-08
0.75,100,0.00034660523721307486,-0.0003327410277245518,0.0010259515021507014,1.2013519046353192e-05,4.242868397895993e-05,-4.0731536619801546e-05,0.00012558890457772142,1.8001932241864516e-07
0.76,100,6.938747518016943e-05,-6.661197617296262e-05,0.00020538692653330147,4.814621711878628e-07,5.028560557046883e-06,-4.827418134765007e-06,1.4884539248858772e-05,2.528642127588766e-09
0.77,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
